Querylength,domain_token_count,path_token_count,domainlength,pathLength,NumberofDotsinURL,URL_DigitCount,URL_Letter_Count,spcharUrl
0,2,3,14,20,1,0,31,1
0,2,4,9,22,1,3,24,1
0,2,6,7,123,1,46,49,36
0,3,5,16,28,3,0,38,1
0,2,6,8,47,1,5,44,4
0,3,4,20,19,2,4,30,1
0,3,8,14,53,3,3,59,6
0,2,1,11,13,1,0,23,0
85,2,4,10,105,2,14,82,21
29,2,3,27,39,2,8,52,4
0,2,4,8,33,1,0,37,0
0,2,4,9,28,1,1,32,1
0,4,4,16,23,4,1,36,2
0,3,3,16,18,2,0,30,1
0,2,4,8,21,1,12,13,0
0,3,5,20,24,3,6,32,0
0,2,1,12,6,1,0,17,0
0,2,3,12,22,1,0,31,1
48,4,3,28,58,4,4,73,10
0,2,1,15,5,1,0,19,0
0,3,6,20,44,4,0,57,3
0,4,3,14,24,4,14,23,1
0,2,6,13,34,1,0,41,1
0,4,9,17,44,1,6,44,7
0,2,5,12,25,1,0,32,2
0,3,6,21,36,4,0,54,1
74,2,5,11,99,2,29,75,3
32,2,3,19,49,2,14,46,6
77,3,3,22,105,6,8,88,15
81,4,5,26,100,2,28,83,11
0,3,3,17,20,2,0,33,0
0,3,2,14,9,3,0,20,0
0,2,8,30,47,1,10,59,4
0,2,2,10,12,1,10,10,1
121,2,21,16,248,2,5,209,30
0,2,4,14,20,1,0,30,1
0,2,2,8,1,1,0,7,0
0,3,4,15,17,3,0,31,1
0,4,2,13,1,3,10,0,0
0,3,2,11,19,2,0,27,1
0,2,2,9,82,1,33,33,28
0,2,8,21,49,2,4,58,4
0,2,2,15,1,1,0,14,0
0,2,5,19,23,1,0,41,2
45,2,3,12,55,2,2,58,10
0,3,2,14,1,1,0,12,1
0,3,2,22,3,2,0,22,0
0,2,15,17,98,1,0,104,11
0,2,1,10,11,1,0,20,0
59,3,3,23,69,3,3,79,12
0,2,8,14,52,2,10,48,4
0,2,5,17,26,1,3,39,4
0,2,3,10,18,2,0,25,1
0,2,1,25,0,1,0,24,0
0,3,9,29,52,3,6,65,5
47,3,3,16,57,3,4,61,10
0,2,5,19,53,2,7,58,2
0,3,4,23,23,3,3,38,1
35,2,6,12,48,3,12,35,9
0,4,2,19,6,4,15,9,2
0,4,1,14,3,3,13,5,1
21,2,3,16,31,2,0,45,5
